min_samples_leaf,max_iter,max_depth,max_bins,learning_rate,l2_regularization,rmse,r2
200,800,9.0,128,0.03786479009414649,10.0,0.17693301144390258,0.31638076284754024
50,800,,64,0.01945887717576389,0.004641588833612782,0.17709155234303456,0.3151550993568205
20,1200,,64,0.013949507939624208,0.001291549665014884,0.17713436485821507,0.31482393193052216
50,400,5.0,128,0.052819519005050046,0.004641588833612782,0.17718877033797042,0.3144029740045391
10,400,,64,0.052819519005050046,0.0001,0.1774963189435912,0.31202091107602314
200,400,,128,0.07368062997280773,0.001291549665014884,0.17750578156838426,0.31194755449539624
100,800,5.0,255,0.10278085328021955,0.7742636826811278,0.17752354435447956,0.31180984247485755
50,1200,9.0,128,0.01945887717576389,0.7742636826811278,0.17778640494076595,0.3097703158579481
200,1200,,64,0.07368062997280773,0.0001,0.178219393734064,0.3064041906630509
200,800,7.0,255,0.07368062997280773,2.782559402207126,0.17823204382609167,0.3063057236889771
100,400,9.0,128,0.14337423288737733,0.05994842503189409,0.17828414518913205,0.3059000985366551
10,800,,64,0.027144176165949066,0.016681005372000592,0.17833116395497456,0.3055339411960494
10,1200,,64,0.027144176165949066,0.0001,0.17835084066137566,0.30538068073034896
10,400,5.0,64,0.14337423288737733,0.7742636826811278,0.17839081569150858,0.30506926599330175
200,200,9.0,255,0.2,0.004641588833612782,0.1783911243105786,0.30506686150782936
50,1200,,64,0.03786479009414649,0.00035938136638046257,0.1783960116554875,0.3050287831059526
200,1200,5.0,255,0.2,0.7742636826811278,0.17845969464114,0.30453251930382197
20,800,5.0,128,0.14337423288737733,2.782559402207126,0.17872219710803341,0.3024850407626718
50,200,9.0,128,0.10278085328021955,0.05994842503189409,0.17874212679378754,0.3023294693870924
100,800,5.0,64,0.03786479009414649,0.004641588833612782,0.17875594966146185,0.30222155772132364
50,800,,64,0.2,0.001291549665014884,0.17880314741401762,0.30185303379670936
200,400,5.0,128,0.14337423288737733,0.001291549665014884,0.1788332347335,0.3016180587594667
